Simulation_1,Simulation_2,Simulation_3,Simulation_4,Simulation_5
281.73058029822994,283.3203580953525,232.28791933880814,34.144623878314434,59.39128176533396
54.628946125388595,205.08522552360807,160.83631083937453,197.80539514254198,239.50193656655574
147.20029056012893,192.63801843630745,143.46361330574535,258.3006382805405,221.22727914043998
219.88161661178864,163.20576361549888,120.17392023715732,97.67356038031038,118.85369310062278
68.82793839941199,106.32603758002331,172.81866065319082,107.90460616526515,40.97582713161313
72.50185913719186,220.2757735972236,7.27372008892641,189.40588331571087,210.21942758624724
190.4036544699922,416.1705430834838,156.45644512264974,254.90981276930756,133.8701959718484
224.06865758114628,119.17799493603268,160.81651651163784,179.8639337287815,137.97600402158952
259.12845860204226,9.346759124005303,229.4625612633521,272.3829455280815,223.96260613701068
2.955344528112022,219.60377979794123,191.1920472149283,246.5945052233331,174.17646315588968
186.3235462279995,111.75089393054424,214.53998095408846,142.11081979014756,189.72438716318982
32.134752407549,346.44798487090515,117.90056968389611,245.21492935833655,239.3260982389586
112.5888679139596,114.85918251934093,171.15662242717175,205.68401015165614,283.63766231702147
187.80013611157074,493.0300686347809,125.34174752531094,116.48603101774599,360.8201559106135
306.82724796777006,0.0,196.72111578287945,50.844016354821434,189.98306971177018
224.1285577935874,303.3207198889986,148.55730278212565,200.5786963490841,257.46595470631144
175.28887867065077,122.88983857780092,367.58895266111523,448.7105881996321,2.535684453794204
43.70827738122239,209.73119582816955,290.85607399689377,275.94187039475975,244.71642301146548
64.83312716968788,190.8897151790561,317.2711749343587,62.82820895133486,424.71869113962293
241.00910398770736,165.28208234904733,339.9876785301321,363.20194395337904,294.0077111756544
11.401229505005006,392.02594149618915,209.39443062069608,42.41441358650985,189.2359375248177
180.14486405020529,233.67489796552553,266.61497090964536,139.713927776442,339.04581205433533
336.9173963455572,413.6742725125208,192.30326765337492,413.37708262310497,202.77290597275078
189.91698336337762,113.07081151164178,143.9268122097472,101.82450585228301,154.9098674498087
333.19381131904294,229.28103534513713,71.8065137653432,167.13875736201504,93.0286162293664
266.38706590518143,315.8918490789623,138.87718150443416,293.173293433158,478.0989680551435
186.68599648970144,502.66959079947776,347.02769119587737,122.38749297711533,325.0135434510097
354.1004475335163,123.52314930042095,341.1761804449973,413.63595004422604,411.1822815338388
415.9632328875326,515.7357699598684,475.9082780934805,188.6250197692922,488.4700268367651
299.796517303793,516.5718577243297,263.0253361317169,455.1121116998404,481.8352247956233
353.48282836834744,55.225306102896695,50.76266697932067,358.38554290265654,598.6749152797468
218.10409986597546,328.8255412459201,466.9894911397587,247.07535296706544,339.9233558650415
275.76657691558523,263.2835426513011,362.1307450844061,194.90208974442302,282.79244496751585
346.3095439412922,219.392267288115,615.9791559139373,609.3254769758086,535.9062583090434
466.2473532334807,791.8547112554104,367.68531773746486,536.5869728022177,323.33299524105445
505.65455531584655,345.6337559604089,478.79774604461113,237.50278852608156,368.8584949168506
301.9380994217106,242.33292833091426,520.2188502714278,454.13094375173966,0.0
494.1648860688273,269.84703354347454,133.1603561606297,369.17952213941874,449.99642918277203
506.3703267054735,314.3954980573392,318.16217890838533,439.9176743373788,527.753962844473
503.10368738490365,356.36732162231874,390.4132081705677,290.6114423849067,350.5706527377456
424.81668974550684,656.4923876818528,324.0861093780687,318.56485726368203,427.98526689217147
605.2863544937643,537.4906208172029,320.71852691224154,632.9195843811066,429.8749753018742
541.862355652082,661.4119848264095,549.5548419530742,412.1696330845662,191.97269716883486
343.3120187026217,383.22810941463797,550.1065159981769,725.277781601882,647.5452559821629
335.62870660649617,707.461971919539,119.66540820020958,497.8450576497955,510.5676577376813
