File,Column,Fourier_Avg,Fourier_Std,Fourier_Avg_Cosine_Form,Fourier_Std_Cosine_Form
WeatherRochesPointProcessed.csv,glorad,f(t) = 1048.926846 * cos(2π * 0.000000 * t + -0.000000) + 439.458455 * cos(2π * -0.002732 * t + 2.924591) + 439.458455 * cos(2π * 0.002732 * t + -2.924591) + 27.974512 * cos(2π * -0.005464 * t + -1.192798) + 27.974512 * cos(2π * 0.005464 * t + 1.192798),f(t) = 399.200836 * cos(2π * 0.000000 * t + -0.000000) + 138.522147 * cos(2π * -0.002732 * t + 2.881263) + 138.522147 * cos(2π * 0.002732 * t + -2.881263) + 11.588860 * cos(2π * 0.005464 * t + 2.408968) + 11.588860 * cos(2π * -0.005464 * t + -2.408968),1048.926846 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 439.458455 * np.cos(2 * np.pi * -0.002732 * days + 2.924591) + 439.458455 * np.cos(2 * np.pi * 0.002732 * days + -2.924591) + 27.974512 * np.cos(2 * np.pi * -0.005464 * days + -1.192798) + 27.974512 * np.cos(2 * np.pi * 0.005464 * days + 1.192798),399.200836 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 138.522147 * np.cos(2 * np.pi * -0.002732 * days + 2.881263) + 138.522147 * np.cos(2 * np.pi * 0.002732 * days + -2.881263) + 11.588860 * np.cos(2 * np.pi * 0.005464 * days + 2.408968) + 11.588860 * np.cos(2 * np.pi * -0.005464 * days + -2.408968)
WeatherSherkinIslandProcessed.csv,wdsp^3,f(t) = 3210.332005 * cos(2π * 0.000000 * t + -0.000000) + 953.364610 * cos(2π * -0.002732 * t + 0.076167) + 953.364610 * cos(2π * 0.002732 * t + -0.076167) + 171.070788 * cos(2π * -0.174863 * t + 2.982949) + 171.070788 * cos(2π * 0.174863 * t + -2.982949),f(t) = 3877.366077 * cos(2π * 0.000000 * t + -0.000000) + 1027.746907 * cos(2π * -0.002732 * t + -0.005146) + 1027.746907 * cos(2π * 0.002732 * t + 0.005146) + 384.859449 * cos(2π * -0.174863 * t + 3.048685) + 384.859449 * cos(2π * 0.174863 * t + -3.048685),3210.332005 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 953.364610 * np.cos(2 * np.pi * -0.002732 * days + 0.076167) + 953.364610 * np.cos(2 * np.pi * 0.002732 * days + -0.076167) + 171.070788 * np.cos(2 * np.pi * -0.174863 * days + 2.982949) + 171.070788 * np.cos(2 * np.pi * 0.174863 * days + -2.982949),3877.366077 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 1027.746907 * np.cos(2 * np.pi * -0.002732 * days + -0.005146) + 1027.746907 * np.cos(2 * np.pi * 0.002732 * days + 0.005146) + 384.859449 * np.cos(2 * np.pi * -0.174863 * days + 3.048685) + 384.859449 * np.cos(2 * np.pi * 0.174863 * days + -3.048685)
WeatherSherkinIslandProcessed.csv,glorad,f(t) = 1083.530563 * cos(2π * 0.000000 * t + -0.000000) + 467.442574 * cos(2π * -0.002732 * t + 2.937822) + 467.442574 * cos(2π * 0.002732 * t + -2.937822) + 24.709511 * cos(2π * -0.005464 * t + -0.987798) + 24.709511 * cos(2π * 0.005464 * t + 0.987798),f(t) = 418.681701 * cos(2π * 0.000000 * t + -0.000000) + 154.087220 * cos(2π * -0.002732 * t + 2.911411) + 154.087220 * cos(2π * 0.002732 * t + -2.911411) + 8.961978 * cos(2π * -0.005464 * t + -2.151687) + 8.961978 * cos(2π * 0.005464 * t + 2.151687),1083.530563 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 467.442574 * np.cos(2 * np.pi * -0.002732 * days + 2.937822) + 467.442574 * np.cos(2 * np.pi * 0.002732 * days + -2.937822) + 24.709511 * np.cos(2 * np.pi * -0.005464 * days + -0.987798) + 24.709511 * np.cos(2 * np.pi * 0.005464 * days + 0.987798),418.681701 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 154.087220 * np.cos(2 * np.pi * -0.002732 * days + 2.911411) + 154.087220 * np.cos(2 * np.pi * 0.002732 * days + -2.911411) + 8.961978 * np.cos(2 * np.pi * -0.005464 * days + -2.151687) + 8.961978 * np.cos(2 * np.pi * 0.005464 * days + 2.151687)






















